year,age_adjusted_incidence_rate,state,outcome
2018,59.9,PA,lung cancer
2017,61.6,PA,lung cancer
2016,63,PA,lung cancer
2015,63.2,PA,lung cancer
2014,63.2,PA,lung cancer
2013,64.3,PA,lung cancer
2012,63.9,PA,lung cancer
2011,66,PA,lung cancer
2010,65.9,PA,lung cancer
2009,69,PA,lung cancer
2008,69.8,PA,lung cancer
2007,70.9,PA,lung cancer
2006,69.9,PA,lung cancer
2005,70.3,PA,lung cancer
2004,68.2,PA,lung cancer
2003,69.3,PA,lung cancer
2002,69.9,PA,lung cancer
2001,70.3,PA,lung cancer
2000,68.4,PA,lung cancer
1999,69.5,PA,lung cancer
1998,70.1,PA,lung cancer
1997,69.8,PA,lung cancer
1996,69.4,PA,lung cancer
1995,68.3,PA,lung cancer
1994,66,PA,lung cancer
1993,65.9,PA,lung cancer
1992,63.4,PA,lung cancer
1991,64,PA,lung cancer
1990,62.7,PA,lung cancer
1996,69.3,OH,lung cancer
1997,76.9,OH,lung cancer
1998,79.5,OH,lung cancer
1999,77.8,OH,lung cancer
2000,74.4,OH,lung cancer
2001,77.2,OH,lung cancer
2002,76.4,OH,lung cancer
2003,75.2,OH,lung cancer
2004,76.8,OH,lung cancer
2005,76.9,OH,lung cancer
2006,76.7,OH,lung cancer
2007,74.9,OH,lung cancer
2008,75,OH,lung cancer
2009,75.9,OH,lung cancer
2010,72.8,OH,lung cancer
2011,72.4,OH,lung cancer
2012,69.8,OH,lung cancer
2013,69.3,OH,lung cancer
2014,69.6,OH,lung cancer
2015,70.1,OH,lung cancer
2016,67.2,OH,lung cancer
2017,65.2,OH,lung cancer
2018,64.6,OH,lung cancer
1976,55.1,NY,lung cancer
1977,55.1,NY,lung cancer
1978,56.2,NY,lung cancer
1979,57.7,NY,lung cancer
1980,59.4,NY,lung cancer
1981,59,NY,lung cancer
1982,61.3,NY,lung cancer
1983,62.4,NY,lung cancer
1984,62.4,NY,lung cancer
1985,64,NY,lung cancer
1986,63.7,NY,lung cancer
1987,64.8,NY,lung cancer
1988,65.3,NY,lung cancer
1989,66.4,NY,lung cancer
1990,66.5,NY,lung cancer
1991,67.5,NY,lung cancer
1992,68.2,NY,lung cancer
1993,67.4,NY,lung cancer
1994,68.7,NY,lung cancer
1995,67.3,NY,lung cancer
1996,68.3,NY,lung cancer
1997,68,NY,lung cancer
1998,68,NY,lung cancer
1999,66.3,NY,lung cancer
2000,67.4,NY,lung cancer
2001,65.4,NY,lung cancer
2002,65.7,NY,lung cancer
2003,65,NY,lung cancer
2004,64.9,NY,lung cancer
2005,64.8,NY,lung cancer
2006,65.3,NY,lung cancer
2007,65.4,NY,lung cancer
2008,65.5,NY,lung cancer
2009,64.3,NY,lung cancer
2010,62.4,NY,lung cancer
2011,62.7,NY,lung cancer
2012,61.1,NY,lung cancer
2013,60.4,NY,lung cancer
2014,58,NY,lung cancer
2015,59.3,NY,lung cancer
2016,57.8,NY,lung cancer
2017,58.8,NY,lung cancer
2018,56,NY,lung cancer
